Project Name,Organization,Station Name,Station #,Station Status,Water Body Id,Water Code,River,Description,Station Type,Aquatic Model Index,RW Watershed,Quadi,Township,Range,Section,Quarter Section,Grid,StationQuad,Wqcc Watershed,HydroUnit,Eco Region,Elevation,Watershed Report,Longitude,Latitude,WS Report,WS Report Data,Utmx,Utmy,County,State,Near City,Region,USGS/DWR Gauge,Gauge Id,State Engineering,Comments
CPW Swarr,River Watch (600),Forest Service Packing Station,2,Active,COSPUS04,SOUTH PLATTE R N FK #1A - S PLATTE R #3B to BAILEY,N Fk S Platte,,"Biological, Chemical, Physical",SP7183,SP,,7S,73W,N Fk S Platte,NESW,D5,Shawnee,South Platte,10190002,S Rockies Warm and Dry Forests of the Middle to Lo,8065,Upper S Platte (Source to Waterton Canyon),-105.5551,39.4251,,,452221,4364099,Park,Colorado,Shawnee,13N,No,test gauge id 3,No,1/17/18 - BS completed metadata with existing coordinates (could not locate Info Sheet).
RiverWatch,Headwaters Alliance/Willow Creek Reclamation (41),Old Hatchery,3,Active,CORGRG04A,RIO GRANDE R #3 - S FK RG R to TROUT CR,Rio Grande,,"Biological, Chemical, Physical",,RG,,41N,1E,Rio Grande,NENE,G8,Creede,Rio Grande,13010001,S Rockies Cool and Moist Forests of the Middle to,8566,Rio Grande Tribs,-106.9078,37.822,,,332085,4187785,Mineral,Colorado,Creede,13N,No,,No,new 2017.  1/17/18 - BS completed metadata.
RiverWatch,Peak to Peak Charter School (448),Trail Head,4,NonActive,COSPBO07B,"COAL CREEK - BOULDER CR #1, at Erie",Coal Cr,"From Denver, take I25 N to Hwy 7 (Baseline Rd). Before entering Lafayette, take S120th St to S Boulder Rd. Turn R onto S Boulder Rd. Take L on Avalon Rd. At the 90 degree bend there is a trailhead. Take trailhead until you get to the creek trail. Turn L until you get to a foot bridge. Site is just downstream of bridge.","Biological, Chemical, Physical",SP7159,SP,,1S,69W,Coal Cr,SENW,H1,Lafayette,Boulder Creek,10190005,SW Tablelands Grasslands,5154,Boulder and Saint Vrain Tribs,-105.078,39.9797,,,4425503,493343,Boulder,Colorado,Lafayette,13N,No,,No,1/17/18 - BS completed metadata.
RiverWatch,Wild Watershed Broads (142),MS1 - Abv Garden Gods Rd,5,Active,COARFO01A,FOUNTAIN CREEK #4 - MONUMENT CR to WOODLAND PARK,Fountain Cr,"From CO Spgs, take US-24 W to Manitou Spgs.  Exit US-24 BUS exit.  Keep R at fork and follow signs for US-24 BUS.  Merge onto Manitou Ave and go to Manitou Pool and Fitness Center parking lot.",Sandy Substrate,AR3286,AK,,14S,67W,Fountain Cr,SWNE,G8,Manitou Springs,Fountain Creek,11020003,S Rockies Low to Middle Elevation Semi-Desert Shru,6217,Fountain Cr,-104.8976,38.8582,,,508885,4301045,El Paso,Colorado,Manitou Springs,13N,No,,No,New Fall 2017.  1/17/18 - BS completed metadata.
RiverWatch,Soroco HS (1),Miller,6,NonActive,COUCYA03,BEAR RIVER #1 - YAMPA R #6 to YAMCOLO RES,Bear,"From town of Yampa, travel approx 6 mi south on Bear River Rd (county Rd 7) to point where pavement ends.  Station is just to your right, on Bear River.",Chemical,YP0739,GR,I-18,1N,85W,Bear,NWSW,A8,Trapper,Yampa,14050001,S Rockies Low to Middle Elevation Semi-Desert Shru,8700,Yampa and White,-106.9804538,40.08417191,,,331151,4438979,Routt,Colorado,Oak Creek,13N,No,,No,3/27/13 - BS chg'd WBID from COUCYA04 to YA03.
RiverWatch,Soroco HS (1),Willow Cabin Br,7,NonActive,COUCYA02A,YAMPA RIVER #6 - STAGECOACH RES to BEAR R,Yampa,"From town of Yampa, travel approx 1.6 mi north on state hwy 131 to bridge over Yampa River.",Chemical,YM0009,GR,H-18,3N,85W,Yampa,,B8,Yampa ,Yampa,14050001,S Rockies Warm and Dry Forests of the Middle to Lo,7680,Yampa and White,-106.9143752,40.18031633,,,337015,4449528,Routt,Colorado,Yampa,13N,No,,No,
Mindy May,CPW - WR (405),At Stagecoach Res,8,NonActive,COUCYA02A,YAMPA RIVER #6 - STAGECOACH RES to BEAR R,Yampa,"From town of Oak Creek, travel approx 1.25 mi south on state hwy 131 to county Rd 14.  Turn left and continue about 3.3 mi, then turn right onto bridge crossing the Yampa River (county Rd 16).",Chemical,YP0010,GR,G-18,4N,85W,Yampa,SWSW,C8,Oak Creek,Yampa,14050001,S Rockies Warm and Dry Forests of the Middle to Lo,7200,Yampa and White,-106.881371,40.269164,,,340034.28,4459330.42,Routt,Colorado,Oak Creek,13N,Yes,,No,2/11/16 - BS moved from 339986/4459368 to put on water (Mindi May's coords were better).
RiverWatch,Soroco MS (27),Habro Br,9,NonActive,COUCYA07,OAK CR #1 - YAMPA R #4 to USFS BNDRY,Oak Cr,"From town of Oak Creek, travel 2.8 mi north on state hwy 131 to unnamed dirt road on left.  Follow dirt road to bottom of hill; station is on Oak Creek near ""Pittsburg & Midway Coal Mining"" sign.",Chemical,YP0011,GR,G-18,4N,85W,Oak Cr,,C8,Oak Creek,Yampa,14050001,S Rockies Low to Middle Elevation Semi-Desert Shru,7240,Yampa and White,-106.9600857,40.31229199,,,333447,4464263,Routt,Colorado,Oak Creek,13N,No,,No,
RiverWatch,Steamboat Spgs MS (3),SWA Br,10,NonActive,COUCYA02A,YAMPA RIVER #4 - ELK R to CATAMOUNT DAM,Yampa,"From junction of US Hwy 40 & state hwy 131, travel 2.6 mi south on 131 to county Rd 22.  Turn right and proceed 0.4 mi to bridge over Yampa River.",Chemical,YP0012,GR,F-19,5N,84W,Yampa,,D7,Steamboat Springs,Yampa,14050001,S Rockies Warm and Dry Forests of the Middle to Lo,6800,Yampa and White,-106.83405,40.39911138,,,344357,4473671,Routt,Colorado,Oak Creek,13N,No,,No,3/27/13 - BS moved WBID from COUCYA02C to YA02A.
RiverWatch,Steamboat Spgs HS (4),At High School,11,NonActive,COUCYA03,"SPRING CREEK - YAMPA R #4, E of Stmboat Spgs",Spring Cr,Behind school,"Chemical, Physical",YP2530,CO,,6N,84W,Spring Cr,NWNW,D7,Steamboat Springs,Yampa,14050001,S Rockies Cool and Moist Forests of the Middle to,6767,Yampa and White,-106.824,40.4852,,,345409,4483206,Routt,Colorado,Steamboat Springs,13N,No,,No,"1/24/17 - BS completed metadata using supplied map of site. - HS wants to move site - not always water in this one.
Aq. Index > 200m"
